epoch,validation_loss_s,validation_loss_T,validation_loss_p,validation_loss_c2
241.0,4.23532921933463e-06,8.29853943577544e-07,4.7635293265260206e-08,5.8294849615226225e-06
242.0,4.233304256198708e-06,8.241726860977374e-07,4.778414922011015e-08,5.813407890641997e-06
243.0,4.231398533252293e-06,8.186480163821261e-07,4.794836989648844e-08,5.797390898159554e-06
244.0,4.229610178778868e-06,8.132740297602164e-07,4.812547784797835e-08,5.781427144303576e-06
245.0,4.227937108705037e-06,8.080445094937032e-07,4.8312818488001104e-08,5.765509981098655e-06
246.0,4.226377018371741e-06,8.029528498120778e-07,4.850756439346901e-08,5.7496327982087984e-06
247.0,4.224927361253402e-06,7.979922319802285e-07,4.8706740422589916e-08,5.733789377639999e-06
248.0,4.223585324717413e-06,7.931557228050743e-07,4.890720380357592e-08,5.717973605734648e-06
249.0,4.222347899882647e-06,7.884363632806105e-07,4.910566035804725e-08,5.702179758406061e-06
250.0,4.221211791251429e-06,7.838273313590111e-07,4.929863614404336e-08,5.686402371927539e-06
251.0,4.220173508344404e-06,7.793221125304405e-07,4.9482471537120526e-08,5.670636074595269e-06
252.0,4.219229376901461e-06,7.749146369580866e-07,4.9653275426981844e-08,5.654875351264017e-06
253.0,4.2183755565895036e-06,7.705994351044182e-07,4.980696587266169e-08,5.639114593961756e-06
254.0,4.217608100320104e-06,7.663717670959089e-07,4.993926940541477e-08,5.623347583610106e-06
255.0,4.216922994245596e-06,7.622276915754556e-07,5.0045819616886574e-08,5.607567627948539e-06
256.0,4.216316224061533e-06,7.581641434695569e-07,5.012227727120535e-08,5.591767377179674e-06
257.0,4.2157837306790345e-06,7.541788765989139e-07,5.016458327483932e-08,5.575939143131241e-06
258.0,4.215321456481561e-06,7.502703220802595e-07,5.016923006570201e-08,5.560075452347057e-06
259.0,4.214925359417543e-06,7.464375598454925e-07,5.0133585076792134e-08,5.544169357205657e-06
260.0,4.2145913641648104e-06,7.426800262554496e-07,5.005628866639025e-08,5.528215826462741e-06
261.0,4.214315241491849e-06,7.389972965636044e-07,4.993758013410742e-08,5.512212680530895e-06
262.0,4.2140926804997144e-06,7.353889128925561e-07,4.9779512299782784e-08,5.4961611730089375e-06
263.0,4.213919142426938e-06,7.318541229832645e-07,4.958610742987362e-08,5.4800673915497085e-06
264.0,4.213789908493128e-06,7.283918213152785e-07,4.9363290911087163e-08,5.463942152348829e-06
265.0,4.213700014334312e-06,7.250003826776276e-07,4.911869309147124e-08,5.447801460331379e-06
266.0,4.213644386584517e-06,7.21677775928561e-07,4.886127109726705e-08,5.4316653391949766e-06
267.0,4.2136178555455365e-06,7.184215550450183e-07,4.860092126322193e-08,5.415557685892031e-06
268.0,4.2136151649099e-06,7.15228988778325e-07,4.8347992639878945e-08,5.399504833393278e-06
269.0,4.213631217069778e-06,7.120972315042127e-07,4.811282317280635e-08,5.383534071250865e-06
270.0,4.213661033475561e-06,7.090234200991628e-07,4.7905395969775944e-08,5.367673076430213e-06
271.0,4.213699889785085e-06,7.060048506822579e-07,4.773502270299047e-08,5.351948440795047e-06
272.0,4.213743345568521e-06,7.03039026794112e-07,4.761014819751941e-08,5.336385258015725e-06
273.0,4.213787347855139e-06,7.001237820866266e-07,4.753819855427102e-08,5.321006143208415e-06
274.0,4.213828186637534e-06,6.972572657461004e-07,4.752553745362155e-08,5.3058314329943826e-06
275.0,4.21386251856526e-06,6.944379375579401e-07,4.757741812805115e-08,5.290878625834298e-06
276.0,4.213887396797823e-06,6.916645768556441e-07,4.769794217341372e-08,5.276162404324994e-06
277.0,4.213900185636199e-06,6.889361466942568e-07,4.789006012294917e-08,5.261694790931427e-06
278.0,4.2138985711081776e-06,6.862518073914815e-07,4.81554650841486e-08,5.247484794349793e-06
279.0,4.2138805155830985e-06,6.836107306048161e-07,4.849457953629567e-08,5.233538551205664e-06
280.0,4.213844167420023e-06,6.81012092978738e-07,4.89063749579282e-08,5.219859084890368e-06
